season,date,home,score,away,replay_str,replay,replay_two
8,"November 10, 2019",Chicago Lions,28 - 41,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=c8ee7c54d6e9ae97492e0007fb3033b8 ,
8,"November 14, 2019",Mexico City Aztecs,13 - 10,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6e4ae31160739812a3fd0da6a3cf865d,
8,"November 14, 2019",New Jersey Philly Specials,2 - 0,Incheon Butterflies,Replay,https://thehax.pl/forum/powtorki.php?nagranie=91b1122a24f98322b86f0be7b7be4172,
8,"November 14, 2019",Flip Gear,24 - 17,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=a98f51294461af4cb319926a764fb8f6,
8,"November 14, 2019",Flip Squad,6 - 31,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=f8b41977f6393143caa0eb8a8843c31d,
8,"November 14, 2019",Atlanta Dirty Birds,28 - 27,Philly Goblins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=c732581a80f6e71c96a0a688d28ec733,
8,"November 14, 2019",Loonaverse,24 - 0,Chicago Lions,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b73fe8d43ebb094cf629a36bc6e72138,
8,"November 17, 2019",Incheon Butterflies,2 - 2,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=eea6ecb36e146dec42196759e6aca0ec,
8,"November 17, 2019",Loona Orbits,14 - 17,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=594ed5be1fdd5808b3fc95e9e54980e1,
8,"November 17, 2019",Mexico City Aztecs,7 - 27,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=746bb191d05c5ec48f69a08adeb51702,
8,"November 17, 2019",Panama Pandemic,35 - 42,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b4253eb7b6856e808ab8f157ac7f5e3a,
8,"November 17, 2019",Chicago Lions,22 - 30,Philly Goblins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=2ca5fe978f665d56d4cf2809959db8c4,
8,"November 17, 2019",Flip Squad,35 - 31,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=0f755c8f88484ebbe45b1f56b4017495,
